etapa,arquivo,origem,copia_relatorio,modificacao_utc,status_atualizacao
Etapa 01 — Coleta e qualidade,01_atualizacao_series_macro.png,outputs/graficos/01_atualizacao_series_macro.png,graficos_pipeline/01_atualizacao_series_macro.png,2026-08-04 23:57:25.550895+00:00,Mesma execução provável
Etapa 01 — Coleta e qualidade,01_cobertura_dados_ativos.png,outputs/graficos/01_cobertura_dados_ativos.png,graficos_pipeline/01_cobertura_dados_ativos.png,2026-08-04 23:57:25.354205+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_08_precos_normalizados_commodities.png,outputs/graficos/02_08_precos_normalizados_commodities.png,graficos_pipeline/02_08_precos_normalizados_commodities.png,2026-08-04 23:57:33.118711+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_08_precos_normalizados_moedas.png,outputs/graficos/02_08_precos_normalizados_moedas.png,graficos_pipeline/02_08_precos_normalizados_moedas.png,2026-08-04 23:57:36.934587+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_08_precos_normalizados_renda_fixa.png,outputs/graficos/02_08_precos_normalizados_renda_fixa.png,graficos_pipeline/02_08_precos_normalizados_renda_fixa.png,2026-08-04 23:57:39.031750+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_08_precos_normalizados_renda_variavel.png,outputs/graficos/02_08_precos_normalizados_renda_variavel.png,graficos_pipeline/02_08_precos_normalizados_renda_variavel.png,2026-08-04 23:57:35.299289+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_09_retorno_acumulado_commodities.png,outputs/graficos/02_09_retorno_acumulado_commodities.png,graficos_pipeline/02_09_retorno_acumulado_commodities.png,2026-08-04 23:57:33.466736+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_09_retorno_acumulado_moedas.png,outputs/graficos/02_09_retorno_acumulado_moedas.png,graficos_pipeline/02_09_retorno_acumulado_moedas.png,2026-08-04 23:57:37.296515+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_09_retorno_acumulado_renda_fixa.png,outputs/graficos/02_09_retorno_acumulado_renda_fixa.png,graficos_pipeline/02_09_retorno_acumulado_renda_fixa.png,2026-08-04 23:57:39.328785+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_09_retorno_acumulado_renda_variavel.png,outputs/graficos/02_09_retorno_acumulado_renda_variavel.png,graficos_pipeline/02_09_retorno_acumulado_renda_variavel.png,2026-08-04 23:57:35.636702+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_10_volatilidade_movel_commodities.png,outputs/graficos/02_10_volatilidade_movel_commodities.png,graficos_pipeline/02_10_volatilidade_movel_commodities.png,2026-08-04 23:57:33.803672+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_10_volatilidade_movel_moedas.png,outputs/graficos/02_10_volatilidade_movel_moedas.png,graficos_pipeline/02_10_volatilidade_movel_moedas.png,2026-08-04 23:57:37.766464+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_10_volatilidade_movel_renda_fixa.png,outputs/graficos/02_10_volatilidade_movel_renda_fixa.png,graficos_pipeline/02_10_volatilidade_movel_renda_fixa.png,2026-08-04 23:57:39.626209+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_10_volatilidade_movel_renda_variavel.png,outputs/graficos/02_10_volatilidade_movel_renda_variavel.png,graficos_pipeline/02_10_volatilidade_movel_renda_variavel.png,2026-08-04 23:57:35.983550+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_11_drawdown_ativos_commodities.png,outputs/graficos/02_11_drawdown_ativos_commodities.png,graficos_pipeline/02_11_drawdown_ativos_commodities.png,2026-08-04 23:57:34.232621+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_11_drawdown_ativos_moedas.png,outputs/graficos/02_11_drawdown_ativos_moedas.png,graficos_pipeline/02_11_drawdown_ativos_moedas.png,2026-08-04 23:57:38.364299+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_11_drawdown_ativos_renda_fixa.png,outputs/graficos/02_11_drawdown_ativos_renda_fixa.png,graficos_pipeline/02_11_drawdown_ativos_renda_fixa.png,2026-08-04 23:57:39.925101+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_11_drawdown_ativos_renda_variavel.png,outputs/graficos/02_11_drawdown_ativos_renda_variavel.png,graficos_pipeline/02_11_drawdown_ativos_renda_variavel.png,2026-08-04 23:57:36.311420+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_12_correlacao_retornos_commodities.png,outputs/graficos/02_12_correlacao_retornos_commodities.png,graficos_pipeline/02_12_correlacao_retornos_commodities.png,2026-08-04 23:57:34.813688+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_12_correlacao_retornos_consolidada.png,outputs/graficos/02_12_correlacao_retornos_consolidada.png,graficos_pipeline/02_12_correlacao_retornos_consolidada.png,2026-08-04 23:57:41.204377+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_12_correlacao_retornos_moedas.png,outputs/graficos/02_12_correlacao_retornos_moedas.png,graficos_pipeline/02_12_correlacao_retornos_moedas.png,2026-08-04 23:57:38.727095+00:00,Mesma execução provável
Etapa 02 — Análise exploratória,02_12_correlacao_retornos_renda_fixa.png,outputs/graficos/02_12_correlacao_retornos_renda_fixa.png,graficos_pipeline/02_12_correlacao_retornos_renda_fixa.png,2026-08-04 23:57:40.321867+00:00,Mesma execução provável
